Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
R446,RES1206-3216,7545.670mil,8692.913mil,7545.670mil,8692.913mil,7612.599mil,8692.913mil,B,180.00,1R
R145,RES1206-3216,2742.520mil,2766.141mil,2742.520mil,2766.141mil,2809.449mil,2766.141mil,B,180.00,1R
R245,RES1206-3216,7545.670mil,2766.141mil,7545.670mil,2766.141mil,7612.599mil,2766.141mil,B,180.00,1R
R345,RES1206-3216,2742.520mil,8592.913mil,2742.520mil,8592.913mil,2809.449mil,8592.913mil,B,180.00,1R
R445,RES1206-3216,7545.670mil,8592.913mil,7545.670mil,8592.913mil,7612.599mil,8592.913mil,B,180.00,1R
R130,RES1206-3216,3902.520mil,5766.141mil,3902.520mil,5766.141mil,3902.520mil,5833.070mil,B,270.00,100K
R230,RES1206-3216,8705.670mil,5766.141mil,8705.670mil,5766.141mil,8705.670mil,5833.070mil,B,270.00,100K
R330,RES1206-3216,3902.520mil,11592.913mil,3902.520mil,11592.913mil,3902.520mil,11659.842mil,B,270.00,100K
R430,RES1206-3216,8705.670mil,11592.913mil,8705.670mil,11592.913mil,8705.670mil,11659.842mil,B,270.00,100K
R128,RES1206-3216,3702.520mil,5766.141mil,3702.520mil,5766.141mil,3702.520mil,5833.070mil,B,270.00,100K
R228,RES1206-3216,8505.670mil,5766.141mil,8505.670mil,5766.141mil,8505.670mil,5833.070mil,B,270.00,100K
R328,RES1206-3216,3702.520mil,11592.913mil,3702.520mil,11592.913mil,3702.520mil,11659.842mil,B,270.00,100K
R428,RES1206-3216,8505.670mil,11592.913mil,8505.670mil,11592.913mil,8505.670mil,11659.842mil,B,270.00,100K
